name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,torque,seats,max_power_hp,car_age,predicted_price,Make,Model
Maruti Swift Dzire VDI,650000,35500,2.0,0,1,28.4,1248,190.0,5.0,74.02,6,650000.0,17,122
Maruti Wagon R VXI Optional,400000,17500,3.0,0,1,20.51,998,90.0,5.0,67.04,6,400000.0,17,135
Maruti Alto K10 VXI,350000,27000,3.0,0,1,23.95,998,90.0,5.0,67.05,7,350000.0,17,10
Hyundai Grand i10 1.2 CRDi Asta,550000,60000,2.0,0,1,24.0,1186,190.24,5.0,73.97,7,518930.2800000001,9,66
Maruti Wagon R LXI Optional,350000,25000,3.0,0,1,20.51,998,90.0,5.0,67.04,8,350000.0,17,135
Maruti Alto LXi,185000,60000,3.0,0,2,19.7,796,62.0,5.0,46.3,12,126991.326,17,10
Volkswagen Polo Diesel Highline 1.2L,550000,38000,2.0,0,1,22.07,1199,180.0,5.0,73.9,11,550000.0,25,97
Maruti Wagon R Duo Lxi,300000,100000,1.0,0,2,26.2,998,77.0,5.0,58.2,12,204434.1936,17,135
Honda BR-V i-DTEC S MT,900000,92000,2.0,0,1,21.9,1498,200.0,7.0,98.6,8,891616.5720000003,8,18
Mahindra Bolero 2011-2019 Plus AC,550000,180000,2.0,0,3,15.96,2523,195.0,9.0,62.1,12,370360.27875000006,16,22
Maruti Baleno Zeta 1.2,625000,10000,3.0,0,1,21.4,1197,115.0,5.0,83.1,6,625000.0,17,20
Maruti Alto 800 VXI,310000,35000,3.0,0,2,24.7,796,69.0,5.0,47.3,7,300418.27200000006,17,10
Hyundai i20 1.2 Asta Option,650000,40000,3.0,0,1,18.6,1197,114.7,5.0,81.83,7,650000.0,9,148
Maruti Alto 800 LXI,300000,50000,3.0,0,2,24.7,796,69.0,5.0,47.3,7,290727.36,17,10
Maruti Swift Dzire VDi,270000,120000,2.0,0,4,19.3,1248,190.0,5.0,73.9,14,164042.01,17,122
Maruti Alto 800 LX,280000,28000,3.0,0,2,22.74,796,69.0,5.0,47.3,9,271345.536,17,10
Maruti Swift Dzire VXi,250000,60000,3.0,0,3,17.5,1298,114.0,5.0,85.8,15,185644.25000000006,17,122
Maruti Swift Dzire VDi,495000,80000,2.0,0,2,19.3,1248,190.0,5.0,73.9,12,350867.6325,17,122
Honda Amaze V Petrol BSIV,700000,4500,3.0,0,1,19.5,1199,110.0,5.0,88.76,5,700000.0,8,11
Renault Duster 85PS Diesel RxE,650000,120000,2.0,0,1,19.87,1461,200.0,5.0,83.8,7,511067.7000000001,21,41
Honda Jazz 1.2 V AT i VTEC,600000,80000,3.0,1,1,19.0,1199,110.0,5.0,88.7,9,600000.0,8,75
Tata New Safari DICOR 2.2 EX 4x2,150000,150000,2.0,0,4,11.57,2179,320.0,7.0,138.1,15,86122.05525,23,89
Honda City V MT,550000,83000,3.0,0,1,16.8,1497,146.0,5.0,116.3,12,472904.3000000001,8,32
Maruti Swift Dzire VDI,650000,20000,2.0,0,1,28.4,1248,190.0,5.0,74.02,7,650000.0,17,122
Toyota Fortuner 2.8 2WD AT BSIV,2900000,49000,2.0,1,1,12.9,2755,450.0,7.0,174.5,6,2772180.18,24,59
Honda Brio 1.2 VX MT,450000,6750,3.0,0,1,18.5,1198,109.0,5.0,86.8,7,450000.0,8,24
Maruti Ciaz VXi Plus,650000,26000,3.0,0,1,20.73,1373,130.0,5.0,91.1,9,650000.0,17,31
Hyundai Grand i10 1.2 Kappa Era,430000,52000,3.0,0,1,17.0,1197,113.75,5.0,81.86,7,391473.72000000015,9,66
Hyundai Creta 1.6 CRDi AT S Plus,1143000,51000,2.0,1,1,17.01,1582,259.9,5.0,126.2,7,898692.8940000002,9,37
Maruti Swift AMT ZXI Plus BSIV,700000,20000,3.0,1,1,22.0,1197,113.0,5.0,81.8,5,700000.0,17,122
Maruti Ritz VXi,229999,18500,3.0,0,1,18.5,1197,114.0,5.0,85.8,13,229999.0,17,105
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,670000,50478,3.0,0,1,15.85,1499,140.0,5.0,110.4,8,609970.68,7,46
Tata Tiago 1.2 Revotron XZA,525000,9200,3.0,1,1,23.84,1199,114.0,5.0,83.83,5,525000.0,23,126
Renault Duster 85PS Diesel RxE,515000,40000,2.0,0,1,19.87,1461,200.0,5.0,83.8,8,449914.3000000001,21,41
Maruti Baleno Delta,630000,5000,3.0,0,1,21.01,1197,113.0,5.0,81.8,4,630000.0,17,20
Datsun RediGO A,270000,2300,3.0,0,1,22.7,799,72.0,5.0,53.64,5,270000.0,4,104
Maruti Alto 800 LXI,300000,40000,3.0,0,1,22.74,796,69.0,5.0,47.3,8,300000.0,17,10
Maruti Alto LX,90000,100000,3.0,0,4,19.7,796,62.0,5.0,46.3,19,52953.912,17,10
Maruti Ertiga SHVS ZDI Plus,750000,100000,2.0,0,1,24.52,1248,200.0,7.0,88.5,7,743013.81,17,53
Tata Nexon 1.2 Revotron XM,740000,15000,3.0,0,1,17.0,1198,170.0,5.0,108.5,6,740000.0,23,90
Honda Amaze S i-VTEC,690000,1303,3.0,0,1,17.8,1198,109.0,5.0,86.7,5,690000.0,8,11
Lexus ES 300h,5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
Toyota Yaris V BSIV,1000000,4295,3.0,0,1,17.1,1496,140.0,5.0,105.5,6,1000000.0,24,143
Toyota Yaris V BSIV,1000000,5229,3.0,0,1,17.1,1496,140.0,5.0,105.5,6,1000000.0,24,143
Hyundai Grand i10 Nios Sportz,550000,4701,3.0,0,1,20.7,1197,113.75,5.0,81.86,5,550000.0,9,66
Maruti Baleno Alpha,600000,6757,3.0,0,1,21.01,1197,113.0,5.0,81.8,8,600000.0,17,20
Skoda Rapid 1.6 MPI AT Style Plus,675000,28182,3.0,1,1,14.3,1598,153.0,5.0,103.52,8,614522.7,22,103
Nissan Kicks XV BSIV,950000,11533,3.0,0,1,14.23,1498,142.0,5.0,104.55,5,950000.0,20,78
Honda City i VTEC V,850000,11688,3.0,0,1,17.8,1497,145.0,5.0,117.3,7,850000.0,8,32
Toyota Camry 2.5 Hybrid,2000000,68089,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,2000000.0,24,27
Toyota Corolla Altis 1.8 VL AT,550000,57728,3.0,1,1,14.53,1794,173.0,5.0,138.1,12,425613.87000000005,24,36
Maruti Ciaz 1.3 Alpha,925000,23712,2.0,0,1,28.09,1248,200.0,5.0,88.5,6,925000.0,17,31
Maruti Alto 800 LXI,200000,43381,3.0,0,2,22.74,796,69.0,5.0,47.3,10,193818.24000000005,17,10
Honda City i VTEC CVT VX,635000,79011,3.0,1,1,18.0,1497,145.0,5.0,117.3,10,635000.0,8,32
Honda Jazz VX,550000,56494,3.0,0,1,18.2,1199,110.0,5.0,88.7,8,500722.2000000001,8,75
Maruti SX4 VDI,425000,50000,2.0,0,2,21.79,1248,200.0,5.0,88.73,10,425000.0,17,109
Maruti Wagon R VXI BS IV,220000,40000,3.0,0,1,18.9,998,90.0,5.0,67.1,13,186127.04000000007,17,135
Hyundai Grand i10 1.2 Kappa Asta,590000,10000,3.0,0,1,18.9,1197,113.75,5.0,81.86,6,590000.0,9,66
Maruti Ritz VXi,350000,58500,3.0,0,1,18.5,1197,114.0,5.0,85.8,9,318641.4,17,105
Maruti Baleno Delta 1.2,575000,20000,3.0,0,1,21.4,1197,115.0,5.0,83.1,6,575000.0,17,20
Tata Hexa XT,1575000,30000,2.0,0,1,17.6,2179,400.0,7.0,153.86,6,1444749.075,23,70
Ford EcoSport 1.5 TDCi Titanium BSIV,600000,63000,2.0,0,1,22.77,1498,205.0,5.0,98.59,9,566105.76,7,46
Mahindra Bolero 2011-2019 ZLX BSIII,720000,35000,2.0,0,1,15.96,2523,195.0,7.0,62.1,8,660456.7200000001,16,22
Tata Hexa XT,1575000,25000,2.0,0,1,17.6,2179,400.0,7.0,153.86,6,1444749.075,23,70
Hyundai Xcent 1.2 VTVT S AT,580000,30000,3.0,1,1,17.36,1197,113.75,5.0,81.86,7,580000.0,9,140
Mahindra Bolero 2011-2019 SLX,420000,50000,2.0,0,1,15.96,2523,195.0,7.0,62.1,12,385266.42000000004,16,22
Honda City i VTEC VX,650000,56000,3.0,0,1,17.4,1497,145.0,5.0,117.3,10,591762.6,8,32
Maruti Wagon R VXI BS IV,400000,12700,3.0,0,1,20.51,998,90.0,5.0,67.04,7,400000.0,17,135
Tata Nexon 1.5 Revotorq XM,700000,35000,2.0,0,1,21.5,1497,260.0,5.0,108.5,6,700000.0,23,90
Tata Safari Storme EX,850000,100000,2.0,0,1,14.1,2179,320.0,7.0,147.94,7,631561.7385000001,23,110
Renault KWID RXT,350000,34000,3.0,0,1,25.17,799,72.0,5.0,53.3,7,350000.0,21,77
Hyundai i10 Era,165000,90000,3.0,0,1,19.81,1086,99.04,5.0,68.05,16,141871.29,9,147
Hyundai Santro Xing GLS,160000,65000,3.0,0,2,17.92,1086,96.1,5.0,62.1,14,131318.88,9,113
Maruti Alto K10 VXI,285000,40000,3.0,0,1,23.95,998,90.0,5.0,67.05,9,285000.0,17,10
Hyundai Creta 1.6 CRDi SX,850000,58000,2.0,0,1,19.67,1582,259.9,5.0,126.2,8,577184.85,9,37
Ford Freestyle Titanium Petrol BSIV,700000,19100,3.0,0,1,19.0,1194,120.0,5.0,94.68,6,700000.0,7,60
Maruti Alto LXi BSIII,180000,49455,3.0,0,1,19.7,796,62.0,5.0,46.3,19,152285.76,17,10
Hyundai EON D Lite Plus Option,220000,100000,3.0,0,1,21.1,814,74.5,5.0,55.2,8,201017.20320000005,9,44
Chevrolet Sail Hatchback LS ABS,420000,46815,2.0,0,2,22.1,1248,205.0,5.0,76.9,11,420000.0,3,111
Hyundai EON Era Plus,250000,80000,3.0,0,1,21.1,814,74.5,5.0,55.2,9,228428.64,9,44
Maruti Ertiga ZDI,385000,100000,2.0,0,3,20.77,1248,200.0,7.0,88.8,11,311102.63415,17,53
Maruti Wagon R VXI BS IV with ABS,318000,80000,3.0,0,1,20.51,998,90.0,5.0,67.06,10,290561.23008,17,135
Hyundai Xcent 1.2 VTVT S,480000,40000,3.0,0,1,20.14,1197,113.75,5.0,81.86,6,480000.0,9,140
Maruti Celerio VXI,330000,70000,3.0,0,3,23.1,998,90.0,5.0,67.04,9,260408.64960000003,17,30
Maruti Alto 800 LXI,250000,40000,3.0,0,1,22.74,796,69.0,5.0,47.3,10,250000.0,17,10
Hyundai i20 1.2 Spotz,550000,50000,3.0,0,1,18.6,1197,114.7,5.0,81.83,7,550000.0,9,148
Hyundai i20 Sportz 1.4 CRDi,650000,30000,2.0,0,1,22.54,1396,219.7,5.0,88.73,8,650000.0,9,148
Renault Duster Adventure Edition,495000,175000,2.0,0,1,19.01,1461,248.0,5.0,108.45,10,389197.7100000001,21,41
Maruti SX4 ZXI AT,220000,65000,3.0,1,3,12.6,1586,145.0,5.0,103.3,13,147030.246,17,109
Maruti SX4 ZXI AT,260000,65000,3.0,1,3,12.6,1586,145.0,5.0,103.3,13,173763.01800000004,17,109
Hyundai Santro Xing GLS,150000,90000,3.0,0,1,17.92,1086,96.1,5.0,62.1,15,128973.9,9,113
Honda Civic Hybrid,250000,60000,3.0,1,3,20.0,1339,123.0,5.0,108.5,16,214956.50000000006,8,33
Mahindra Xylo D4,310000,160000,2.0,0,1,14.95,2489,218.0,7.0,93.7,10,230334.28110000005,16,142
Maruti Baleno Delta 1.2,560000,20000,3.0,0,1,21.4,1197,115.0,5.0,83.1,6,560000.0,17,20
Maruti Swift Dzire VXI,500000,30000,3.0,0,1,20.85,1197,115.0,5.0,83.14,8,500000.0,17,122
Hyundai Verna 1.6 SX,420000,69000,2.0,0,3,22.32,1582,259.8,5.0,126.32,11,279147.582,9,132
Maruti Swift Dzire LXI,434999,25000,3.0,0,2,20.85,1197,115.0,5.0,83.14,9,434999.0,17,122
Hyundai Xcent 1.2 Kappa AT S Option,400000,100000,3.0,1,1,16.9,1197,113.75,5.0,81.86,9,400000.0,9,140
Nissan Terrano XL 85 PS,480000,60000,2.0,0,3,20.45,1461,200.0,5.0,83.8,9,391127.616,20,125
Hyundai Grand i10 Nios AMT Sportz,675000,5000,3.0,1,1,20.7,1197,113.75,5.0,81.86,4,675000.0,9,66
Hyundai i10 Sportz Option,170000,90000,3.0,0,2,20.36,1197,111.8,5.0,78.9,15,167431.57200000001,9,147
Hyundai Creta 1.6 CRDi SX Option,1250000,90000,2.0,0,1,19.67,1582,259.9,5.0,126.2,7,848801.2500000001,9,37
Honda Accord 2.4 M/T,600000,144030,3.0,0,1,12.8,2354,222.0,5.0,177.6,12,464306.0400000001,8,9
Honda City i DTEC VX,819999,200000,2.0,0,1,25.1,1498,200.0,5.0,98.6,10,773676.9284904001,8,32
Hyundai i20 2015-2017 Asta Option 1.2,650000,29000,3.0,0,1,18.6,1197,114.7,5.0,81.83,8,650000.0,9,148
Maruti Wagon R LXI DUO BSIII,105000,90000,1.0,0,2,17.3,1061,7.8,5.0,57.5,17,71292.72150000001,17,135
Maruti Omni E MPI STD BS IV,220000,90000,3.0,0,1,16.8,796,59.0,8.0,34.2,8,175890.0528000001,17,92
Volkswagen Vento 1.6 Highline,500000,70000,3.0,0,2,15.04,1598,153.0,5.0,103.2,10,375259.50000000006,25,129
Chevrolet Optra Magnum 2.0 LT,210000,90000,2.0,0,4,16.52,1991,305.0,5.0,123.7,16,110189.83499999999,3,94
Maruti Ritz VDi,270000,89000,2.0,0,2,21.1,1248,113.0,5.0,73.9,13,229658.814,17,105
Hyundai i20 Asta Option 1.4 CRDi,700000,40000,2.0,0,1,22.54,1396,219.7,5.0,88.73,8,700000.0,9,148
Maruti Ertiga VDI,650000,110000,2.0,0,3,20.77,1248,200.0,7.0,88.76,9,556134.5790000001,17,53
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1300000,48000,2.0,0,2,19.67,1582,259.9,5.0,126.2,9,936253.5,9,37
Volkswagen Jetta 2.0L TDI Highline AT,1350000,97000,2.0,1,1,16.96,1968,320.0,5.0,138.03,8,1061448.3,25,76
Volkswagen Vento 1.5 TDI Highline AT,1000000,60000,2.0,1,1,22.15,1498,250.0,5.0,108.6,8,1000000.0,25,129
Toyota Yaris V CVT BSIV,1080000,12800,3.0,1,1,17.8,1496,140.0,5.0,105.5,6,1080000.0,24,143
Hyundai EON D Lite,170000,40000,3.0,0,1,21.1,814,74.5,5.0,55.2,12,170000.0,9,44
Maruti Ritz VXi,350000,25000,3.0,0,1,18.5,1197,114.0,5.0,85.8,10,350000.0,17,105
Maruti Alto 800 LXI,260000,65000,3.0,0,2,22.74,796,69.0,5.0,47.3,8,226767.34080000003,17,10
Fiat Linea 1.3 Multijet Emotion,700000,20000,2.0,0,1,20.4,1248,209.0,5.0,91.7,9,700000.0,5,81
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,800000,15000,2.0,0,1,23.65,1248,200.0,5.0,88.5,9,800000.0,17,109
Toyota Etios GD,400000,120000,2.0,0,2,23.59,1364,170.0,5.0,67.04,10,360249.12000000005,24,54
Hyundai i20 2015-2017 Magna 1.2,520000,29000,3.0,0,1,18.6,1197,114.7,5.0,81.83,8,520000.0,9,148
Nissan Terrano XV D Premium AMT,850000,55000,2.0,1,1,19.61,1461,248.0,5.0,108.5,7,773843.4000000003,20,125
Tata Nexon 1.5 Revotorq XZ Plus,830000,35000,2.0,0,1,21.5,1497,260.0,5.0,108.5,7,830000.0,23,90
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,850000,60000,2.0,0,1,22.77,1498,205.0,5.0,98.59,7,801983.1600000003,7,46
Maruti Swift Dzire ZXI,650000,70000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,650000.0,17,122
Maruti Ignis 1.2 AMT Delta BSIV,525000,20000,3.0,1,1,20.89,1197,113.0,5.0,81.8,5,525000.0,17,71
Hyundai i20 Active 1.4 SX,600000,108000,2.0,0,1,21.19,1396,220.0,5.0,88.73,9,566105.76,9,148
Maruti Swift LXI,500000,15000,3.0,0,1,21.21,1197,113.0,5.0,81.8,5,500000.0,17,122
Hyundai Santro Xing GLS,150000,77000,3.0,0,1,17.92,1086,96.1,5.0,62.1,15,128973.9,9,113
Maruti Wagon R VXI BS IV,409999,18500,3.0,0,1,20.51,998,90.0,5.0,67.04,9,409999.0,17,135
Renault KWID RXT,290000,15200,3.0,0,1,25.17,799,72.0,5.0,53.3,9,290000.0,21,77
Honda Mobilio V i VTEC,500000,35000,3.0,0,1,17.3,1497,145.0,7.0,117.3,9,500000.0,8,87
Hyundai Verna 1.6 SX,475000,80000,2.0,0,1,22.32,1582,259.8,5.0,126.32,13,365550.405,9,132
Hyundai EON Era Plus,190000,70000,3.0,0,1,21.1,814,74.5,5.0,55.2,11,163961.00160000005,9,44
Nissan Terrano XV 110 PS,525000,120000,2.0,0,2,19.01,1461,248.0,5.0,108.5,10,394022.47500000003,20,125
Chevrolet Cruze LTZ,495000,82000,2.0,0,3,17.3,1998,380.0,5.0,163.7,12,274162.80374999996,3,39
Lexus ES 300h,5150000,20000,3.0,1,1,22.37,2487,202.0,5.0,214.56,5,5150000.0,15,45
Tata Safari Storme EX,503000,110000,2.0,0,1,14.1,2179,320.0,7.0,147.94,9,373735.94643,23,110
Toyota Camry 2.5 Hybrid,2000000,68089,3.0,1,1,19.16,2494,213.0,5.0,157.7,8,2000000.0,24,27
Maruti Wagon R LXI,225000,58343,3.0,0,1,21.79,998,90.0,5.0,67.05,11,194164.34400000007,17,135
Honda Jazz VX,550000,56494,3.0,0,1,18.2,1199,110.0,5.0,88.7,8,500722.2000000001,8,75
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,2.0,0,2,12.99,2494,200.0,7.0,100.6,11,502378.655625,24,74
Maruti Swift AMT VVT VXI,650000,5621,3.0,1,1,22.0,1197,113.0,5.0,81.8,5,650000.0,17,122
Toyota Etios VX,625000,25538,3.0,0,1,16.78,1496,132.0,5.0,88.73,7,625000.0,24,54
Maruti Swift AMT ZXI,600000,69779,3.0,1,1,22.0,1197,113.0,5.0,81.8,6,600000.0,17,122
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,2.0,0,1,24.0,1186,190.24,5.0,73.97,7,424579.3200000001,9,66
Honda Amaze V CVT Petrol BSIV,779000,7032,3.0,1,1,19.0,1199,110.0,5.0,88.76,5,779000.0,8,11
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,3.0,1,1,14.3,1598,153.0,5.0,103.5,8,587210.5800000001,22,103
Toyota Etios Liva 1.2 V Dual Tone,585000,50000,3.0,0,1,17.71,1197,104.0,5.0,78.9,7,585000.0,24,54
Honda Amaze E i-DTEC,500000,70000,2.0,0,1,25.8,1498,200.0,5.0,98.6,7,471754.8000000001,8,11
Maruti Ertiga SHVS LDI Option,756000,70000,2.0,0,2,24.52,1248,200.0,7.0,88.5,8,714914.3786400002,17,53
Maruti Alto 800 VXI,240000,50000,3.0,0,1,22.74,796,69.0,5.0,47.3,10,240000.0,17,10
Hyundai i20 Active S Petrol,800000,5000,3.0,0,1,17.19,1197,114.73,5.0,81.86,5,800000.0,9,148
Tata Hexa XE,1250000,25000,2.0,0,1,17.6,2179,320.0,7.0,147.94,6,1146626.2500000002,23,70
Maruti Alto K10 2010-2014 VXI,210000,35000,3.0,0,2,20.92,998,90.0,5.0,67.1,13,203509.15200000003,17,10
Maruti Alto LXi,110000,80000,3.0,0,2,19.7,796,62.0,5.0,46.3,16,75508.35600000001,17,10
Tata Nexon 1.5 Revotorq XE,665000,25000,2.0,0,1,21.5,1497,260.0,5.0,108.5,7,665000.0,23,90
Volkswagen Ameo 1.5 TDI Comfortline,555000,52000,2.0,0,1,21.66,1498,250.0,5.0,108.62,7,523647.82800000015,25,12
Volkswagen Ameo 1.5 TDI Comfortline,560000,52000,2.0,0,1,21.66,1498,250.0,5.0,108.62,7,528365.3760000002,25,12
Toyota Fortuner 2.8 4WD AT BSIV,2950000,50000,2.0,1,1,15.04,2755,450.0,7.0,174.5,7,2950000.0,24,59
Maruti Swift Dzire VDI,605000,127000,2.0,0,1,28.4,1248,190.0,5.0,74.02,7,570823.3080000001,17,122
Honda WR-V i-VTEC VX,720000,30000,3.0,0,1,17.5,1199,110.0,5.0,88.7,7,720000.0,8,134
Maruti Ertiga SHVS ZDI Plus,800000,70000,2.0,0,1,24.52,1248,200.0,7.0,88.5,7,792548.0640000002,17,53
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,625000,120000,2.0,0,2,10.5,2835,292.0,6.0,116.9,13,418648.87968750007,19,95
Hyundai i20 Sportz 1.2,300000,120000,3.0,0,1,18.5,1197,113.7,5.0,82.85,12,257947.8,9,148
Tata New Safari DICOR 2.2 VX 4x2 BS IV,240000,120000,2.0,0,1,13.93,2179,320.0,7.0,138.1,13,168416.46360000005,23,89
Maruti Ertiga VXI,450000,140000,3.0,0,1,16.02,1373,130.0,7.0,93.7,11,406267.78500000015,17,53
Hyundai Verna Xi (Petrol),160000,100000,3.0,0,4,13.9,1599,14.9,5.0,103.2,16,87489.07200000001,9,132
Hyundai Xcent 1.2 VTVT E,525000,100000,3.0,0,1,20.14,1197,113.75,5.0,81.86,5,525000.0,9,140
Chevrolet Cruze LTZ,270000,120000,2.0,0,3,18.3,1991,327.0,5.0,147.9,14,149543.3475,3,39
Toyota Etios GD,570000,145000,2.0,0,2,23.59,1364,170.0,5.0,67.05,8,513354.99600000004,24,54
Hyundai Xcent 1.2 VTVT S,590000,90000,3.0,0,1,20.14,1197,113.75,5.0,81.86,5,590000.0,9,140
Ford Aspire Titanium BSIV,800000,33000,3.0,0,1,19.4,1194,120.0,5.0,94.93,5,800000.0,7,14
Chevrolet Sail 1.2 LS ABS,450000,13500,3.0,0,1,18.2,1199,108.5,5.0,82.4,10,450000.0,3,111
Hyundai i20 1.2 Spotz,645000,20000,3.0,0,1,18.6,1197,114.7,5.0,81.83,7,645000.0,9,148
Hyundai EON Magna Plus,200000,40000,3.0,0,1,21.1,814,74.5,5.0,55.2,11,200000.0,9,44
Honda City i VTEC V,700000,30000,3.0,0,1,17.4,1497,145.0,5.0,117.3,9,700000.0,8,32
Maruti Ritz VDi,325000,90000,2.0,0,2,23.2,1248,190.0,5.0,73.94,10,292702.41000000003,17,105
Maruti Wagon R VXI BS IV,350000,50000,3.0,0,2,20.51,998,90.0,5.0,67.04,9,339181.92000000004,17,135
Hyundai Verna 1.6 CRDI,440000,80000,2.0,0,3,22.32,1582,259.9,5.0,126.3,13,292440.324,9,132
Volkswagen Polo Petrol Comfortline 1.2L,350000,50000,3.0,0,4,16.47,1198,110.0,5.0,73.9,11,289674.0,25,97
Ford Figo Diesel Celebration Edition,310000,90000,2.0,0,2,20.0,1399,160.0,5.0,68.1,11,219735.28500000003,7,57
Maruti Ciaz AT ZXi,685000,30000,3.0,1,1,19.12,1373,130.0,5.0,91.1,9,685000.0,17,31
Renault Duster 4x4,560000,132000,2.0,0,2,19.72,1461,245.0,5.0,108.45,10,420290.64,21,41
Hyundai Verna Transform VTVT,380000,80000,3.0,0,2,16.2,1599,14.9,5.0,103.2,13,269352.93,9,132
Maruti Swift Dzire LXI 1.2 BS IV,550000,5000,3.0,0,1,22.0,1197,113.0,5.0,81.8,6,550000.0,17,122
Hyundai Verna 1.6 VTVT SX,749000,25000,3.0,0,1,17.01,1591,154.9,5.0,121.3,8,654341.38,9,132
Hyundai Creta 1.6 CRDi SX Option,899000,80000,2.0,0,2,19.67,1582,259.9,5.0,126.2,9,582709.7744999999,9,37
Chevrolet Optra Magnum 2.0 LS BSIII,290000,88000,2.0,0,3,16.52,1991,305.0,5.0,123.7,13,160620.63249999998,3,94
Toyota Innova 2.5 VX (Diesel) 7 Seater,869999,217000,2.0,0,2,12.99,2494,200.0,7.0,100.6,10,617038.4866095452,24,74
Maruti Swift Dzire VXI,500000,43000,3.0,0,1,20.85,1197,115.0,5.0,83.14,7,500000.0,17,122
Skoda Rapid 1.5 TDI AT Ambition Plus,400000,77000,2.0,1,2,21.66,1498,250.0,5.0,103.6,10,400000.0,22,103
Renault KWID RXT,260000,30000,3.0,0,1,25.17,799,72.0,5.0,53.3,8,260000.0,21,77
Maruti Alto 800 LXI,220000,40000,3.0,0,2,22.74,796,69.0,5.0,47.3,9,213200.06400000004,17,10
Chevrolet Enjoy TCDi LS 8 Seater,190000,139000,2.0,0,2,18.2,1248,172.5,8.0,73.8,10,149728.54050000003,3,52
Chevrolet Beat Diesel LT Option,170000,76000,2.0,0,2,25.44,936,142.5,5.0,56.3,10,128052.18720000001,3,21
Hyundai Elite i20 Magna Plus BSIV,650000,3500,3.0,0,1,18.6,1197,117.0,5.0,81.86,5,650000.0,9,50
Chevrolet Spark 1.0 LT,125000,40000,3.0,0,2,16.2,995,90.3,5.0,62.1,12,100947.00000000001,3,118
Maruti Alto LX,170000,70000,3.0,0,3,19.7,796,62.0,5.0,46.3,13,105580.948,17,10
Maruti Swift Dzire LDi,310000,77000,2.0,0,2,19.3,1248,190.0,5.0,73.9,12,219735.28500000003,17,122
Maruti Wagon R VXI Optional,465000,20000,3.0,0,1,20.51,998,90.0,5.0,67.04,8,465000.0,17,135
Mercedes-Benz E-Class E270 CDI,800000,120005,2.0,1,2,11.0,2987,46.5,5.0,198.5,19,590934.9600000001,18,43
Maruti Alto K10 Knightracer,260000,16830,3.0,0,1,20.2,998,90.0,5.0,67.1,12,260000.0,17,10
Toyota Fortuner 2.8 4WD MT BSIV,3200000,50000,2.0,0,1,14.24,2755,420.0,7.0,174.5,6,2641826.8800000004,24,59
Tata Indica V2 DLE BSIII,200000,50000,2.0,0,1,17.88,1396,85.0,5.0,52.8,17,174724.0,23,72
Hyundai EON Magna Plus,340000,30000,3.0,0,1,21.1,814,74.5,5.0,55.2,8,340000.0,9,44
Mahindra Bolero 2011-2019 SLE BSIII,550000,103000,2.0,0,1,15.96,2523,195.0,7.0,62.1,10,454063.99500000017,16,22
Ford Endeavour 3.0L 4X4 AT,975000,93468,2.0,1,2,11.4,2953,380.0,7.0,153.86,13,756212.0816250002,7,51
Honda Amaze V Petrol BSIV,700000,4500,3.0,0,1,19.5,1199,110.0,5.0,88.76,5,700000.0,8,11
Toyota Fortuner 2.8 4WD AT BSIV,3200000,60000,2.0,1,1,15.04,2755,450.0,7.0,174.5,6,3058957.440000001,24,59
Ford Figo 1.5P Titanium AT,416000,40000,3.0,1,1,17.01,1499,136.0,5.0,110.4,9,416000.0,7,57
Tata Manza Aura (ABS) Quadrajet BS IV,210000,120000,2.0,0,1,21.12,1248,200.0,5.0,88.8,14,187129.40400000004,23,85
Maruti Omni E MPI STD BS IV,260000,30000,3.0,0,1,16.8,796,59.0,8.0,34.2,6,230966.7360000001,17,92
Hyundai Creta 1.4 CRDi S,1050000,70000,2.0,0,1,21.38,1396,219.7,5.0,88.7,6,990685.0800000002,9,37
Tata Manza Club Class Quadrajet90 LX,290000,60000,2.0,0,1,21.02,1248,200.0,5.0,88.76,12,258416.79600000006,23,85
Hyundai i20 1.2 Asta,700000,6000,3.0,0,1,18.6,1197,114.7,5.0,81.83,6,700000.0,9,148
Maruti Swift VXI Optional,550000,20000,3.0,0,1,20.4,1197,113.0,5.0,81.8,8,550000.0,17,122
Tata Indigo CS LX (TDI) BS-III,450000,70000,2.0,0,1,19.09,1405,135.0,5.0,69.01,7,353816.10000000003,23,73
Honda City i VTEC VX,773000,65000,3.0,0,1,17.8,1497,145.0,5.0,117.3,8,703742.2920000001,8,32
Nissan Teana XL,600000,80000,3.0,1,2,11.07,2496,228.0,5.0,179.5,10,543367.4400000002,20,124
Chevrolet Beat LT,250000,63000,3.0,0,1,18.6,1199,108.0,5.0,79.4,14,214956.50000000006,3,21
